price,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,type,paint_color,vehicle_age,estimate_msrp,predicted_price,gap_ratio,price_class
16995,ford,transit,good,6 cylinders,gas,80384.0,clean,automatic,1FMZK1ZM3FKB33177,rwd,van,silver,6.0,33500.0,18191.66,-0.06578069291092731,1
17995,ford,f150,excellent,8 cylinders,gas,126786.0,clean,automatic,1FTFW1EF6BKD36061,4wd,pickup,white,10.0,39600.0,18124.8,-0.007161458333333293,1
20900,jeep,compass,excellent,4 cylinders,gas,33622.0,rebuilt,automatic,3C4NJDDB2KT627326,4wd,SUV,red,2.0,32500.0,22420.49,-0.06781698348251985,1
12000,bmw,x5,like new,6 cylinders,gas,116905.0,clean,automatic,5UXZV4C55BL740473,4wd,sedan,black,10.0,57000.0,11937.0,0.005277707966825836,1
9999,mazda,mazda3,excellent,4 cylinders,gas,99091.0,clean,automatic,JM1BL1TG8D1749417,fwd,sedan,white,8.0,18000.0,9319.55,0.07290588064874386,1
20590,chrysler,300limitedsedan4d,good,6 cylinders,gas,71021.0,clean,other,2C3CCAEG6JH123125,rwd,sedan,black,3.0,36000.0,20640.18,-0.002431180348233411,1
14995,chrysler,200limited,excellent,4 cylinders,gas,28124.0,clean,automatic,1C3CCCAB8GN167777,fwd,sedan,grey,5.0,25300.0,15975.37,-0.061367592738071214,1
35597,cadillac,xt5,excellent,6 cylinders,gas,31273.0,clean,automatic,1GYKNDRS3LZ187671,4wd,SUV,silver,1.0,57990.0,38940.9,-0.08587115346589322,1
4000,subaru,outbackxtlimited,good,4 cylinders,gas,134250.0,rebuilt,manual,4S4BP63C096312113,4wd,wagon,blue,12.0,30300.0,6204.48,-0.3553045541286296,0
2995,lincoln,towncar,good,8 cylinders,gas,156172.0,clean,automatic,1LNHM81W82Y614481,rwd,sedan,green,19.0,42940.0,3991.0,-0.2495615134051616,0
12900,kia,sedona,excellent,6 cylinders,gas,112996.0,clean,automatic,KNDMB5C13F6041810,fwd,van,custom,6.0,28300.0,12954.47,-0.004204726245072114,1
